"number_overall","season","number_in_season","episode_name","animation_direction_by","written_and_storyboarded_by","original_air_date","us_viewers_mil","imdb_rating"
"156","5","36","Skips in the Saddle","Robert Alvarez ","Benton Connor, Sarah Oleksyk","2014-07-17","1.68","7.9"
"157","5","37","Thomas Fights Back","Robert Alvarez ","Andres Salaff, Ryan Pequin","2014-07-24","2","8.5"
"158","5","38","Bachelor Party! Zingo!!","Robert Alvarez ","Toby Jones, Owen Dennis","2014-07-31","1.89","7.7"
"159","5","39","Tent Trouble","Robert Alvarez ","Hilary Florido, Madeline Queripel","2014-08-07","1.79","7.4"
"160","5","40","Real Date","Robert Alvarez ","Calvin Wong, Minty Lewis","2014-08-14","1.85","9"
"161","6","1","Maxin' and Relaxin'","Robert Alvarez ","Calvin Wong, Ryan Pequin","2014-10-09","2.19","8.3"
"162","6","2","New Bro on Campus","Robert Alvarez ","Benton Connor, Madeline Queripel","2014-10-16","2.24","8.1"
"163","6","3","Daddy Issues","Robert Alvarez ","Benton Connor, Sarah Oleksyk","2014-10-23","1.71","8.1"
"164","6","4","Terror Tales of the Park IV","Robert Alvarez ","Toby Jones, Owen Dennis, Sarah Oleksyk, Minty Lewis","2014-10-29","1.74","8.4"
"165","6","5","Terror Tales of the Park IV","Robert Alvarez ","Toby Jones, Owen Dennis, Sarah Oleksyk, Minty Lewis","2014-10-29","1.74","8.4"
"166","6","6","The End of Muscle Man","Robert Alvarez ","Minty Lewis, Sarah Oleksyk","2014-10-30","1.38","8.1"
"167","6","7","Lift with Your Back","Robert Alvarez ","Toby Jones, Owen Dennis","2014-11-06","1.71","8.1"
"168","6","8","Eileen Flat Screen","Robert Alvarez ","Minty Lewis, Sarah Oleksyk","2014-11-13","1.6","8.4"
"169","6","9","The Real Thomas","J. G. Quintel,
Robert Alvarez","Calvin Wong, Ryan Pequin","2014-11-20","1.71","9.5"
"170","6","10","The Real Thomas","J. G. Quintel,
Robert Alvarez","Calvin Wong, Ryan Pequin","2014-11-20","1.71","9.5"
"171","6","11","The White Elephant Gift Exchange","Robert Alvarez","Benton Connor, Madeline Queripel","2014-12-04","2.12","9.5"
"172","6","12","Merry Christmas Mordecai","Robert Alvarez ","Benton Connor, Madeline Queripel","2014-12-04","2.12","8.8"
"173","6","13","Sad Sax","Robert Alvarez ","Ryan Pequin","2015-01-08","1.85","8.5"
"174","6","14","Park Managers' Lunch","Robert Alvarez ","Toby Jones, Owen Dennis","2015-01-15","1.84","8.1"
"175","6","15","Mordecai and Rigby Down Under","Robert Alvarez ","Calvin Wong, Casey Crowe","2015-01-22","1.88","8.8"
"176","6","16","Married and Broke","Robert Alvarez ","Toby Jones, Owen Dennis","2015-01-29","1.8","7.9"
"177","6","17","I See Turtles","Robert Alvarez ","Benton Connor, Madeline Queripel","2015-02-05","1.72","9.1"
"178","6","18","Format Wars II","Robert Alvarez ","Calvin Wong, Casey Crowe","2015-02-12","1.67","9.2"
